r,n,t
12,9300,731
13,9300,727
14,9300,727
15,9300,727
16,9300,727
2,9400,2577
3,9400,1652
4,9400,1284
5,9400,1102
6,9400,1101
7,9400,937
8,9400,919
9,9400,921
10,9400,920
11,9400,980
12,9400,741
13,9400,737
14,9400,738
15,9400,777
16,9400,770
2,9500,2593
3,9500,1664
4,9500,1293
5,9500,1110
6,9500,1112
7,9500,926
8,9500,926
9,9500,926
10,9500,931
11,9500,744
12,9500,744
13,9500,743
14,9500,744
15,9500,747
16,9500,743
2,9600,2681
3,9600,1881
4,9600,1324
5,9600,1123
6,9600,1163
7,9600,939
8,9600,945
9,9600,938
10,9600,937
11,9600,755
12,9600,753
13,9600,757
14,9600,755
15,9600,755
16,9600,754
2,9700,2689
3,9700,1731
4,9700,1328
5,9700,1140
6,9700,1140
7,9700,979
8,9700,1160
9,9700,973
10,9700,963
11,9700,767
12,9700,765
13,9700,793
14,9700,764
15,9700,771
16,9700,766
2,9800,2668
3,9800,1706
4,9800,1329
5,9800,1145
6,9800,1141
7,9800,953
8,9800,953
9,9800,956
10,9800,954
11,9800,765
12,9800,764
13,9800,769
14,9800,765
15,9800,765
16,9800,765
2,9900,2924
3,9900,1738
4,9900,1398
5,9900,1161
6,9900,1161
7,9900,974
8,9900,968
9,9900,970
10,9900,969
11,9900,784
12,9900,778
13,9900,779
14,9900,780
15,9900,779
16,9900,783
2,10000,2737
3,10000,1753
4,10000,1528
5,10000,1763
6,10000,1348
7,10000,980
8,10000,1030
9,10000,982
10,10000,980
11,10000,786
12,10000,793
13,10000,787
14,10000,786
15,10000,787
16,10000,787
2,10100,2820
3,10100,1781
4,10100,1378
5,10100,1182
6,10100,1424
7,10100,1038
8,10100,1063
9,10100,1035
10,10100,1038
11,10100,796
12,10100,794
13,10100,807
14,10100,794
15,10100,794
16,10100,953
2,10200,2795
3,10200,1793
4,10200,1393
5,10200,1200
6,10200,1203
7,10200,1374
8,10200,1348
9,10200,1020
10,10200,1004
11,10200,803
12,10200,804
13,10200,804
14,10200,816
15,10200,805
16,10200,805
2,10300,2840
3,10300,1860
4,10300,1408
5,10300,1209
6,10300,1211
7,10300,1009
8,10300,1009
9,10300,1009
10,10300,1013
11,10300,811
12,10300,811
13,10300,810
14,10300,810
15,10300,815
16,10300,827
2,10400,2849
3,10400,1963
4,10400,1536
5,10400,1227
6,10400,1261
7,10400,1031
8,10400,1022
9,10400,1022
10,10400,1023
11,10400,825
12,10400,821
13,10400,821
14,10400,821
15,10400,821
16,10400,825
2,10500,2865
3,10500,1838
4,10500,1432
5,10500,1234
6,10500,1230
7,10500,1028
8,10500,1031
9,10500,1075
10,10500,1030
11,10500,826
12,10500,841
13,10500,954
14,10500,906
15,10500,828
16,10500,887
2,10600,2941
3,10600,1860
4,10600,1450
5,10600,1281
6,10600,1247
