x,y
1003,155910
639,129053
1233,207366
257,42910
37,3713
97,11371
250,59378
941,164457
628,110558
299,38636
173,48238
1063,176709
1025,174859
657,115392
1095,180641
579,75674
320,40108
1434,207719
445,58228
540,71607
114,13052
15,1132
157,18362
626,82369
1110,154995
577,76193
1274,201084
541,96298
548,90243
216,30584
168,25235
781,115986
719,98587
96,10375
1236,200265
564,84220
413,61503
371,55206
95,12269
396,58289
972,144352
1478,247853
1324,240875
1121,193119
1249,210136
36,13498
1224,203555
122,24270
476,75117
449,86992
1259,208285
43,14415
1012,174351
1323,219348
183,32286
362,46051
785,127096
1288,246292
1225,244840
1226,219882
489,91534
891,130777
1172,243816
307,42678
1335,262453
1376,296586
49,7956
1190,212105
119,17251
447,65131
1318,252889
948,167981
1378,252595
1059,178520
133,16314
1238,187621
1364,219456
878,133583
9,904
1487,248880
1316,197386
428,67566
178,26937
1183,184133
1345,202484
48,6202
796,281197
1016,171977
576,86741
196,26798
1269,186115
859,144744
1423,218537
184,24540
393,62646
480,81694
125,17180
399,64065
498,82049
657,112099
312,45910
961,154791
192,27360
91,9762
1266,190440
1329,212120
34,3277
1324,200463
970,162176
729,108957
101,13979
122,14395
44,5274
751,114147
618,91782
1290,187476
1077,175564
859,130415
90,12413
720,123089
1191,189960
1446,219629
1231,195697
678,99760
355,50218
1326,199246
919,153394
438,62325
707,105847
417,59022
255,39109
1216,182322
698,114169
1247,195652
1435,248051
365,61595
749,113570
544,90344
895,157831
1176,179833
637,102927
1484,238837
786,143020
842,131106
841,127352
357,55148
658,113964
1352,203518
391,58575
511,85654
209,31752
1330,208084
1222,184863
1409,226535
1429,215955
1117,183305
567,83167
250,34212
977,140860
915,169709
396,51840
453,99817
821,149147
987,173342
1184,209985
639,111518
1442,216918
311,49646
677,130010
128,15228
488,94076
783,153613
1253,215842
690,130829
207,34185
397,82451
554,112117
1343,228838
1268,214911
693,109848
1378,212170
255,62823
18,1915
576,117515
1160,206998
970,161662
452,58160
643,126809
62,16649
1299,213687
693,119976
482,88954
738,135003
266,43935
917,189597
1283,223567
1478,273172
1210,255427
1053,241478
1121,180707
887,186866
1305,260057
683,116765
381,87062
604,117748
1121,219346
751,171247
721,125424
1491,305049
149,22879
1294,231665
582,99073
1124,186991
28,3409
1213,213520
17,1814
1385,258782
536,71755
748,121024
250,40769
782,145400
391,59055
116,13144
31,2835
828,128515
1154,197723
490,63543
432,112108
650,114239
1003,175668
1404,234924
483,62599
667,135942
1151,194810
759,131024
634,108568
1109,176804
267,33222
437,87560
1089,207092
789,160157
461,76253
629,112344
1226,203835
925,157231
679,117959
78,10638
254,39952
1472,239720
749,127919
1417,225800
181,23869
141,17392
683,100723
1397,208475
985,164696
177,24503
1300,194759
1092,203417
106,23154
1332,235570
1444,236058
303,58174
1080,196350
810,131943
633,114699
881,150851
906,159915
1397,231890
621,99352
350,52694
1150,201131
1201,208716
142,21572
1074,160493
1451,239920
251,36594
1437,218347
211,28519
1167,191318
267,38151
663,96470
1407,206442
398,104094
1090,175366
199,54064
1443,250913
770,130642
481,103702
936,164184
320,53446
1038,190169
572,77163
1049,189047
1084,216106
540,92491
1484,234523
718,112933
1019,203949
540,72265
1240,187931
881,149234
374,57771
818,160747
293,47829
98,10802
1358,233206
1016,175440
289,46850
170,20360
1485,239835
856,144476
136,20425
1383,206808
1025,188579
1118,194400
39,14119
878,151724
1058,217329
961,171977
958,162378
1422,258955
205,32079
346,55124
1251,210167
53,5636
346,47656
1053,159494
384,57910
355,58080
303,47246
632,105587
535,90186
220,31711
1365,207230
1134,206639
1051,182157
575,75630
318,42287
143,18643
1498,253050
1094,187566
717,124797
685,126070
29,2575
770,130252
863,151669
